N no-sha yes-sha
100 0.50135 0.141886
150 0.49635 0.205479
200 0.551045 0.254575
250 0.546045 0.29597
300 0.59744 0.351165
350 0.592441 0.379662
400 0.639336 0.407659
450 0.634337 0.445855
500 0.675832 0.485451
550 0.670833 0.50065
600 0.706329 0.518448
650 0.70133 0.531447
700 0.730527 0.549845
750 0.725527 0.583742
800 0.748425 0.59924
850 0.743426 0.614039
900 0.760324 0.636136
950 0.755324 0.646135
1000 0.766823 0.659334
1050 0.761824 0.664234
1100 0.756824 0.671633
1150 0.751825 0.681332
1200 0.746825 0.689831
1250 0.741826 0.690331
1300 0.736826 0.69733
1350 0.731827 0.69893
1400 0.726827 0.70213
1450 0.721828 0.70293
1500 0.716828 0.708829
1550 0.711829 0.707329
1600 0.706829 0.711729
1650 0.70183 0.713029
1700 0.69683 0.711829
1750 0.691831 0.713129
1800 0.686831 0.710329
1850 0.681832 0.711829
1900 0.676832 0.711329
1950 0.671833 0.709229
2000 0.678832 0.708929
2050 0.673833 0.708129
2100 0.668833 0.708029
2150 0.663834 0.708229
2200 0.658834 0.70343
2250 0.653835 0.70133
2300 0.648835 0.69813
2350 0.643836 0.69573
2400 0.638836 0.692531
2450 0.633837 0.690131
2500 0.628837 0.686231
2550 0.623838 0.683132
2600 0.618838 0.680332
2650 0.613839 0.677532
2700 0.608839 0.674933
2750 0.60384 0.671433
2800 0.59884 0.667133
2850 0.593841 0.666233
2900 0.588841 0.663834
2950 0.583842 0.659734
3000 0.587241 0.656034
3050 0.582242 0.651135
3100 0.577242 0.649135
3150 0.572243 0.645435
3200 0.567243 0.642236
3250 0.562244 0.637736
3300 0.557244 0.634737
3350 0.552245 0.630837
3400 0.547245 0.626537
3450 0.542246 0.622238
3500 0.537246 0.617738
3550 0.532247 0.612739
3600 0.527247 0.608339
3650 0.522248 0.60464
3700 0.517248 0.60044
3750 0.512249 0.59544
3800 0.507249 0.591441
3850 0.50225 0.586441
3900 0.49725 0.582442
3950 0.492251 0.577642
4000 0.492851 0.573243
4050 0.487851 0.568343
4100 0.482852 0.563444
4150 0.477852 0.558744
4200 0.472853 0.553745
4250 0.467853 0.549145
4300 0.462854 0.544346
4350 0.457854 0.539646
4400 0.452855 0.535146
4450 0.447855 0.530147
4500 0.442856 0.525847
4550 0.437856 0.522848
4600 0.432857 0.517848
4650 0.427857 0.513249
4700 0.422858 0.508449
4750 0.417858 0.50385
4800 0.412859 0.49895
4850 0.407859 0.494551
4900 0.40286 0.490351
4950 0.39786 0.485651
5000 0.39636 0.480652
